Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"fragmented-spirit-of-fire-mrc","EN-001 Fragmented Spirit of Fire (UR)","<p>Fragmented Spirit of Fire is an ultra rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/UR/EN-001.jpg","1","Fragmented Spirit of Fire","34.38","38.2","shopify","g","SPHWPJSZNN","Title","Default Title"
"fragmented-spirit-of-water-mrc","EN-002 Fragmented Spirit of Water (UR)","<p>Fragmented Spirit of Water is an ultra rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/UR/EN-002.jpg","1","Fragmented Spirit of Water","29.43","32.7","shopify","g","E5N3CL9LBE","Title","Default Title"
"fragmented-spirit-of-wind-mrc","EN-003 Fragmented Spirit of Wind (UR)","<p>Fragmented Spirit of Wind is an ultra rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/UR/EN-003.jpg","1","Fragmented Spirit of Wind","46.16","51.28","shopify","g","WNMHUS8N48","Title","Default Title"
"tristan-underhanded-mrc","EN-004 Tristan, Underhanded (C)","<p>Tristan, Underhanded is a common card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/C/EN-004.jpg","1","Tristan, Underhanded","0.25","","shopify","g","5DGQ56CJG0","Title","Default Title"
"tristan-hired-blade-mrc","EN-005 Tristan, Hired Blade (C)","<p>Tristan, Hired Blade is a common card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/C/EN-005.jpg","1","Tristan, Hired Blade","0.25","","shopify","g","BO2FB4QWWV","Title","Default Title"
"tristan-shadowreaver-mrc","EN-006 Tristan, Shadowreaver (SR)","<p>Tristan, Shadowreaver is a super rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/SR/EN-006.jpg","1","Tristan, Shadowreaver","20.72","23.02","shopify","g","ZOJO9IITWX","Title","Default Title"
"alkahest-mrc","EN-007 Alkahest (R)","<p>Alkahest is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-007.jpg","1","Alkahest","0.52","0.58","shopify","g","S9KE3RS7QU","Title","Default Title"
"backup-charger-mrc","EN-008 Backup Charger (R)","<p>Backup Charger is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-008.jpg","1","Backup Charger","57.17","63.52","shopify","g","3APYPGZEDX","Title","Default Title"
"clockwork-musicbox-mrc","EN-009 Clockwork Musicbox (SR)","<p>Clockwork Musicbox is a super rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/SR/EN-009.jpg","1","Clockwork Musicbox","5.13","5.7","shopify","g","KWMP7PXT63","Title","Default Title"
"framework-sidearm-mrc","EN-010 Framework Sidearm (R)","<p>Framework Sidearm is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-010.jpg","1","Framework Sidearm","0.36","0.4","shopify","g","JYFA7FR1G8","Title","Default Title"
"mercenarys-blade-mrc","EN-011 Mercenary's Blade (R)","<p>Mercenary's Blade is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-011.jpg","1","Mercenary's Blade","1.04","1.16","shopify","g","EVRBDZDHMF","Title","Default Title"
"mercurial-heart-mrc","EN-012 Mercurial Heart (UR)","<p>Mercurial Heart is an ultra rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/UR/EN-012.jpg","1","Mercurial Heart","18.68","20.76","shopify","g","1787AQV0LU","Title","Default Title"
"prototype-shield-mrc","EN-013 Prototype Shield (R)","<p>Prototype Shield is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-013.jpg","1","Prototype Shield","0.37","0.42","shopify","g","T4793KVQF2","Title","Default Title"
"steel-slug-mrc","EN-014 Steel Slug (R)","<p>Steel Slug is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-014.jpg","1","Steel Slug","0.25","0.27","shopify","g","4I25FC0ARR","Title","Default Title"
"worn-diary-mrc","EN-015 Worn Diary (R)","<p>Worn Diary is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-015.jpg","1","Worn Diary","0.28","0.31","shopify","g","AGP8M7O1I1","Title","Default Title"
"blast-shield-mrc","EN-016 Blast Shield (R)","<p>Blast Shield is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-016.jpg","1","Blast Shield","0.25","","shopify","g","84H5LAHLJR","Title","Default Title"
