Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-rec-hvf","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/C/EN-001.jpg","1","Spirit of Fire","","","shopify","g","NO4WCW25H3","Title","Default Title"
"guo-jia-chosen-disciple-rec-hvf","EN-002 Guo Jia, Chosen Disciple (C)","<p>Guo Jia, Chosen Disciple is a common card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/C/EN-002.jpg","1","Guo Jia, Chosen Disciple","","","shopify","g","2YR65S6Q1A","Title","Default Title"
"guo-jia-blessed-scion-rec-hvf","EN-003 Guo Jia, Blessed Scion (C)","<p>Guo Jia, Blessed Scion is a common card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/C/EN-003.jpg","1","Guo Jia, Blessed Scion","","","shopify","g","X6J0X56ZEY","Title","Default Title"
"guo-jia-heavens-favored-rec-hvf","EN-004 Guo Jia, Heaven's Favored (C)","<p>Guo Jia, Heaven's Favored is a common card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/C/EN-004.jpg","1","Guo Jia, Heaven's Favored","","","shopify","g","IBHBMOQ8BO","Title","Default Title"
"fated-keepsake-rec-hvf","EN-005 Fated Keepsake (SR)","<p>Fated Keepsake is a super rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/SR/EN-005.jpg","1","Fated Keepsake","","","shopify","g","HRUCE0671W","Title","Default Title"
"life-essence-amulet-rec-hvf","EN-006 Life Essence Amulet (C)","<p>Life Essence Amulet is a common card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/C/EN-006.jpg","1","Life Essence Amulet","","","shopify","g","2ARINGYNTK","Title","Default Title"
"portentous-tanggu-rec-hvf","EN-007 Portentous Tanggu (R)","<p>Portentous Tanggu is a rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/R/EN-007.jpg","1","Portentous Tanggu","","","shopify","g","EZO91JMXVW","Title","Default Title"
"rousing-rattle-drum-rec-hvf","EN-008 Rousing Rattle Drum (R)","<p>Rousing Rattle Drum is a rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/R/EN-008.jpg","1","Rousing Rattle Drum","","","shopify","g","UX5E7O8IC2","Title","Default Title"
"tariff-ring-rec-hvf","EN-009 Tariff Ring (C)","<p>Tariff Ring is a common card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/C/EN-009.jpg","1","Tariff Ring","","","shopify","g","G0P6Y1Q5E7","Title","Default Title"
"band-of-burning-verdict-rec-hvf","EN-010 Band of Burning Verdict (SR)","<p>Band of Burning Verdict is a super rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/SR/EN-010.jpg","1","Band of Burning Verdict","","","shopify","g","VHB9ITQAGP","Title","Default Title"
"fabled-azurite-fatestone-rec-hvf","EN-011 Fabled Azurite Fatestone (UR)","<p>Fabled Azurite Fatestone is an ultra rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/UR/EN-011.jpg","1","Fabled Azurite Fatestone","","","shopify","g","O1YP6DNPYK","Title","Default Title"
"incandescent-reliquary-rec-hvf","EN-012 Incandescent Reliquary (SR)","<p>Incandescent Reliquary is a super rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/SR/EN-012.jpg","1","Incandescent Reliquary","","","shopify","g","ZHCN84WN9C","Title","Default Title"
"companion-fatestone-rec-hvf","EN-013 Companion Fatestone (U)","<p>Companion Fatestone is an uncommon card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/U/EN-013.jpg","1","Companion Fatestone","","","shopify","g","L51JTPMZ99","Title","Default Title"
"craggy-fatestone-rec-hvf","EN-014 Craggy Fatestone (SR)","<p>Craggy Fatestone is a super rare card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/SR/EN-014.jpg","1","Craggy Fatestone","","","shopify","g","FNMEBI9G1Z","Title","Default Title"
"expel-the-departed-rec-hvf","EN-015 Expel the Departed (U)","<p>Expel the Departed is an uncommon card in Grand Archive's Re:Collection Heaven's Favored set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-HVF, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-HVF/U/EN-015.jpg","1","Expel the Departed","","","shopify","g","TRTB5XYRGP","Title","Default Title"
