Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-doap","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-001.jpg","1","Spirit of Fire","0.25","","shopify","g","1TISZWRN8K","Title","Default Title"
"spirit-of-wind-doap","EN-002 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-002.jpg","1","Spirit of Wind","0.25","","shopify","g","3051LMD58M","Title","Default Title"
"lorraine-wandering-warrior-doap","EN-003 Lorraine, Wandering Warrior (C)","<p>Lorraine, Wandering Warrior is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-003.jpg","1","Lorraine, Wandering Warrior","0.32","0.36","shopify","g","DPTL3QCIUG","Title","Default Title"
"lorraine-blademaster-doap","EN-004 Lorraine, Blademaster (C)","<p>Lorraine, Blademaster is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-004.jpg","1","Lorraine, Blademaster","0.25","","shopify","g","BPLLVQLUQX","Title","Default Title"
"lorraine-crux-knight-doap","EN-005 Lorraine, Crux Knight (C)","<p>Lorraine, Crux Knight is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-005.jpg","1","Lorraine, Crux Knight","0.52","0.58","shopify","g","OKOTXSMM5P","Title","Default Title"
"rai-spellcrafter-doap","EN-006 Rai, Spellcrafter (C)","<p>Rai, Spellcrafter is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-006.jpg","1","Rai, Spellcrafter","0.25","","shopify","g","T8HANTCNOP","Title","Default Title"
"rai-archmage-doap","EN-007 Rai, Archmage (C)","<p>Rai, Archmage is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-007.jpg","1","Rai, Archmage","0.25","","shopify","g","K6NRXZI20P","Title","Default Title"
"rai-storm-seer-doap","EN-008 Rai, Storm Seer (C)","<p>Rai, Storm Seer is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-008.jpg","1","Rai, Storm Seer","","","shopify","g","4PG2R8QEGG","Title","Default Title"
"silvie-loved-by-all-doap","EN-009 Silvie, Loved by All (C)","<p>Silvie, Loved by All is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-009.jpg","1","Silvie, Loved by All","0.49","0.55","shopify","g","TEHAGFFLE3","Title","Default Title"
"zander-blinding-steel-doap","EN-010 Zander, Blinding Steel (C)","<p>Zander, Blinding Steel is a common card in Grand Archive's Dawn of Ashes Prelude set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOAp, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOAp/C/EN-010.jpg","1","Zander, Blinding Steel","0.63","0.7","shopify","g","NKSBVQ7IZT","Title","Default Title"
