Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-dtr","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-001.jpg","1","Spirit of Fire","","","shopify","g","APWJBP7G8O","Title","Default Title"
"spirit-of-water-dtr","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-002.jpg","1","Spirit of Water","","","shopify","g","X1KWVT6OSP","Title","Default Title"
"spirit-of-wind-dtr","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-003.jpg","1","Spirit of Wind","","","shopify","g","ZDYB9WB0TU","Title","Default Title"
"alice-golden-queen-dtr","EN-004 Alice, Golden Queen (SR)","<p>Alice, Golden Queen is a super rare card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/SR/EN-004.jpg","1","Alice, Golden Queen","","","shopify","g","GGLIACKMST","Title","Default Title"
"ciel-loyal-valet-dtr","EN-005 Ciel, Loyal Valet (C)","<p>Ciel, Loyal Valet is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-005.jpg","1","Ciel, Loyal Valet","","","shopify","g","LH6ABAQPKH","Title","Default Title"
"ciel-omenbringer-dtr","EN-006 Ciel, Omenbringer (C)","<p>Ciel, Omenbringer is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-006.jpg","1","Ciel, Omenbringer","","","shopify","g","F6CDB7RNWR","Title","Default Title"
"ciel-mirages-grave-dtr","EN-007 Ciel, Mirage's Grave (C)","<p>Ciel, Mirage's Grave is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-007.jpg","1","Ciel, Mirage's Grave","","","shopify","g","XRLB9CYYLN","Title","Default Title"
"diana-aether-dilettante-dtr","EN-008 Diana, Aether Dilettante (C)","<p>Diana, Aether Dilettante is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-008.jpg","1","Diana, Aether Dilettante","","","shopify","g","99Z26VFJSZ","Title","Default Title"
"diana-judgments-arrow-dtr","EN-009 Diana, Judgment's Arrow (C)","<p>Diana, Judgment's Arrow is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-009.jpg","1","Diana, Judgment's Arrow","","","shopify","g","I5OQYT6O0R","Title","Default Title"
"diana-moonpiercer-dtr","EN-010 Diana, Moonpiercer (C)","<p>Diana, Moonpiercer is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-010.jpg","1","Diana, Moonpiercer","","","shopify","g","0AVSQ65WRH","Title","Default Title"
"beastbond-paws-dtr","EN-011 Beastbond Paws (C)","<p>Beastbond Paws is a common card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/C/EN-011.jpg","1","Beastbond Paws","","","shopify","g","SEHQTPFGDU","Title","Default Title"
"candlelight-hourglass-dtr","EN-012 Candlelight Hourglass (R)","<p>Candlelight Hourglass is a rare card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/R/EN-012.jpg","1","Candlelight Hourglass","","","shopify","g","82NTPSW21T","Title","Default Title"
"condemned-trinket-dtr","EN-013 Condemned Trinket (R)","<p>Condemned Trinket is a rare card in Grand Archive's Distorted Reflections set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTR, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTR/R/EN-013.jpg","1","Condemned Trinket","","","shopify","g","MET15IGT0Y","Title","Default Title"
