Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"lost-spirit-demo22","EN-001 Lost Spirit (C)","<p>Lost Spirit is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-001.jpg","1","Lost Spirit","9.57","10.63","shopify","g","OBKUCFRXBF","Title","Default Title"
"lorraine-wandering-warrior-demo22","EN-002 Lorraine, Wandering Warrior (C)","<p>Lorraine, Wandering Warrior is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-002.jpg","1","Lorraine, Wandering Warrior","1.21","1.34","shopify","g","RWWB4PFBAT","Title","Default Title"
"lorraine-blademaster-demo22","EN-003 Lorraine, Blademaster (C)","<p>Lorraine, Blademaster is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-003.jpg","1","Lorraine, Blademaster","0.25","0.27","shopify","g","FDUY9CY0W3","Title","Default Title"
"bauble-of-abundance-demo22","EN-004 Bauble of Abundance (C)","<p>Bauble of Abundance is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-004.jpg","1","Bauble of Abundance","0.25","","shopify","g","KKMMXAFOCD","Title","Default Title"
"life-essence-amulet-demo22","EN-005 Life Essence Amulet (C)","<p>Life Essence Amulet is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-005.jpg","1","Life Essence Amulet","0.25","","shopify","g","XZTBSVXFLP","Title","Default Title"
"ornamental-greatsword-demo22","EN-006 Ornamental Greatsword (C)","<p>Ornamental Greatsword is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-006.jpg","1","Ornamental Greatsword","0.25","","shopify","g","34QZZBPNST","Title","Default Title"
"seers-sword-demo22","EN-007 Seer's Sword (U)","<p>Seer's Sword is an uncommon card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/U/EN-007.jpg","1","Seer's Sword","0.59","0.65","shopify","g","S5Z59BZVFC","Title","Default Title"
"sharpening-stone-demo22","EN-008 Sharpening Stone (C)","<p>Sharpening Stone is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-008.jpg","1","Sharpening Stone","0.25","","shopify","g","8Q9ZD4PGDL","Title","Default Title"
"warriors-longsword-demo22","EN-009 Warrior's Longsword (U)","<p>Warrior's Longsword is an uncommon card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/U/EN-009.jpg","1","Warrior's Longsword","0.25","","shopify","g","KEPPCIF67K","Title","Default Title"
"banner-knight-demo22","EN-010 Banner Knight (C)","<p>Banner Knight is a common card in Grand Archive's LGS Demo 2022 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DEMO22, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DEMO22/C/EN-010.jpg","1","Banner Knight","0.25","","shopify","g","LO6BC9AWKJ","Title","Default Title"
